proposal_id,space_id,title,total_votes,total_voting_power
0x331603498dd2beb9d9f8ff960a0d7d8fb902783b9ae15a6012086451e49acfb1,stgdao.eth,Distribution of RFP ,1000,13021.960086565447
0xc87599acecab6170b5e728a579faf7eed0a5cedb7fb3bb7b8071100610665e78,stgdao.eth,Stargate ImmuneFi Bug Bounty Program,1000,10470.111029887787
0xeb2e6a54d110db0cec12113aae61ac83e2d31fc60e14c8084d86d0cc710631d4,stgdao.eth,Proposal to wind down support for the Fantom Ecosystem,1000,7549.016108017806
0x1c55529c8df43cc97591696a135a7b82af27fb8c58a09cf0bdc80aa29310d27d,stgdao.eth,Stargate V2,1000,5578.948093039569
0x44b9630efed11ff179b69646989d1ef61f05a143164773021844b6aa06878c2a,stgdao.eth,Use idle STG/USDC PoL on Fantom to Earn at Equalizer,1000,10906.804884100899
0x608a19c36e4ec7634a8bcbbffc3a863f2bf6a407cd5a0c74677297eb5dd4da11,stgdao.eth,"After a Successful DAO Vote, Stargate is Launching Phase 1 of the $gSTG (Stargate Gold) Distribution",959,6662.079687735744
0xa867fb97a98964a54a5a604589b2572006bc6abf293552129da9331025c2c52d,stgdao.eth,"After a Successful DAO Vote, Stargate is Launching Phase 1 of the $gSTG (Stargate Gold) Distribution",782,7428.440507769639
0xe91fd2b925cbea4195fb6bfe6cc7944577d41e0e202015eb442381b1f02cfaa6,stgdao.eth,"After a Successful DAO Vote, Stargate is Launching Phase 1 of the $gSTG (Stargate Gold) Distribution",683,6869.636368549566
0x460cdc81a156b659ee8081a5fe1fef16042cd60543a475f77f64cfc1b6b281dd,stgdao.eth,"After a Successful DAO Vote, Stargate is Launching Phase 1 of the $gSTG (Stargate Gold) Distribution",566,4637.083778851492
0x71a1e8d31eb5e01762315adf31894b83d3939d589e5ebc596efb7ca054f1b94b,stgdao.eth,"After a Successful DAO Vote, Stargate is Launching Phase 1 of the $gSTG (Stargate Gold) Distribution",931,11185.25556947589
0x11e9daab4e806cba220d5d6eae6be76f799f27ad20723d0aabedf0263ca2a28f,stgdao.eth,Record and Publish Stargate Community Calls,1000,5994.394144361395
0x80aea4dbb7406fa7a25858d241f708d39064404c2d5d65d50602b30dc01c2a15,stgdao.eth,Grow POL on Optimism by leveraging Stargate's veVELO vote power on Velodrome,1000,10256.387400781732
0xcf50734221eca0c197e6d78aa9a4ccf7f5a823088718b3bfa849b1342a7e7840,stgdao.eth,Aptos Foundation and Layer Zero Proposal,1000,8753.10513304783
0x808c1dc3ea8086552e764f7a4b2763cbc1aace2492c51c8a94c65e5e71cd35d0,stgdao.eth,A.P.D. - mETH Request,1000,30608.52917585158
0xac174c9bb4f7591f4ace0e8a084e28df7a0c4f9654274c08610f7ec262eed9e3,stgdao.eth,Utilize unclaimed tokens on Velodrome to increase Stargate's weekly earnings and qualify for govNFT,1000,13061.564111249541
0x8d8cebd08408ab6072b9d8701c8b8eb0d53dcc5147ce97d1462d87ed6c547bab,stgdao.eth,Stargate Deployment on Manta Network,1000,8061.771062755353
0xf095ab5713a1a5052f264f6acda54690e921a276d8242c695c2394e9fe77ed85,stgdao.eth,Stargate Partner with Toupee Tech on Base,1000,8592.705599335304
0x747abdac9511413bf6bd752a9a5bbec93d07c68f57966429142eb26a92c09720,stgdao.eth,Stargate DAO - Arrakis PALM,1000,7934.993456695782
0xe21e8d82840271de57e3a04aa8ab6a083d7e1c08fe198ed3a08d7901f8e4cde6,stgdao.eth,Integrate Stargate with NEAR via Aurora,1000,10496.668878185945
0x39f95f69921626e2100df0d85e0ea77eb554796d79f6978e828f93a860242b99,stgdao.eth,Stargate Deployment On Meter (Pathway Change),1000,7713.871970491146
0xa4558ffd23293318e9ab559202265a1bb3e26e9215effe3f3eea59f7c54fa166,stgdao.eth,Yearn's Scale-Up Plan for Velodrome STG-USDC.e Incentives,1000,10545.077177300074
0xa84cf96d0fca68f5c2e4e603d7faed9eb6f1fe0d54d86552545a035bb09a3736,stgdao.eth,PancakeSwap veCAKE Proposa,1000,7903.693257659935
0x6c9437b45e8a88978bca68238048fca8c670ed356fa7d4ae9ab9e7e93788c538,stgdao.eth,Wind down MAI Pools,1000,7346.331360718632
0x57dfc29fe901e154f294e9e5fc6f7b26e58e4f9446d2d131168bb4531bd2a448,stgdao.eth,Stargate Deployment On Meter,1000,7207.160670050313
0x2e079e8ead1d586cb3fd95e60d14e5ffba29ab7ff377a07d91037ee138989e4a,stgdao.eth,Phase out BUSD on Stargate,1000,7507.339318962491
0x1a1199e257551beac23b21fdba98f6efba2773a52135ad848fc6ad5b22b5d627,stgdao.eth,Proposal to Approve Stargate Deployment on Scroll,1000,9977.894431534272
0xafce718ac2c5b42caa1c4a2f355f37bab804600b8f2a897840606df146db3da0,stgdao.eth,Proposal for Stargate Deployment on Mantle,1000,9718.627542147166
